city,state_id,state_name,county_name,population,lat,lng
Stevens Point,WI,Wisconsin,,26604,44.52358,-89.57456
West Linn,OR,Oregon,,26593,45.36568,-122.61231
Superior,WI,Wisconsin,,26579,46.72077,-92.10408
Tujunga,CA,California,,26527,34.25223,-118.28841
Greenville,TX,Texas,,26515,33.13845,-96.11081
Magna,UT,Utah,,26505,40.70911,-112.10161
Batavia,IL,Illinois,,26495,41.85003,-88.31257
Cantonment,FL,Florida,,26493,30.60853,-87.33998
Danvers,MA,Massachusetts,,26493,42.57509,-70.93005
Shoreview,MN,Minnesota,,26477,45.07913,-93.14717
Paradise,CA,California,,26476,39.75961,-121.62192
Fremont,NE,Nebraska,,26474,41.43333,-96.49808
Smithtown,NY,New York,,26470,40.85593,-73.20067
Pearl,MS,Mississippi,,26462,32.27459,-90.13203
Mansfield City,CT,Connecticut,,26439,41.76593,-72.23369
Mercerville-Hamilton Square,NJ,New Jersey,,26419,40.23126,-74.67223
North Creek,WA,Washington,,26410,47.81954,-122.17624
Carbondale,IL,Illinois,,26399,37.72727,-89.21675
Westport,CT,Connecticut,,26391,41.14149,-73.3579
Medina,OH,Ohio,,26339,41.13839,-81.86375
Bay Shore,NY,New York,,26337,40.7251,-73.24539
Kahului,HI,Hawaii,,26337,20.88933,-156.47293
Leisure City,FL,Florida,,26324,25.49539,-80.42922
Vernon Hills,IL,Illinois,,26314,42.21947,-87.97952
Zionsville,IN,Indiana,,26296,39.95087,-86.26194
Norco,CA,California,,26289,33.93113,-117.54866
Wasco,CA,California,,26279,35.59412,-119.34095
Mount Pleasant,WI,Wisconsin,,26272,42.69743,-87.85577
Fortuna Foothills,AZ,Arizona,,26265,32.65783,-114.41189
Barberton,OH,Ohio,,26234,41.01283,-81.60512
Kingsville,TX,Texas,,26225,27.51587,-97.85611
Statesville,NC,North Carolina,,26221,35.78264,-80.8873
Plainview,NY,New York,,26217,40.77649,-73.46735
Laurel,MD,Maryland,,26215,39.09928,-76.84831
Carrollton,GA,Georgia,,26203,33.58011,-85.07661
South Pasadena,CA,California,,26151,34.11612,-118.15035
Howard Beach,NY,New York,,26148,40.65788,-73.83625
Englewood,IL,Illinois,,26121,41.77976,-87.64588
Four Corners,FL,Florida,,26116,28.33287,-81.64738
South Laurel,MD,Maryland,,26112,39.06983,-76.85025
Asheboro,NC,North Carolina,,26103,35.70791,-79.81364
Buenaventura Lakes,FL,Florida,,26079,28.33584,-81.35313
Clinton,IA,Iowa,,26064,41.84447,-90.18874
Mount Pleasant,MI,Michigan,,26060,43.59781,-84.76751
Twentynine Palms,CA,California,,26025,34.13556,-116.05417
Huntley,IL,Illinois,,26005,42.16808,-88.42814
Pennsport,PA,Pennsylvania,,26000,39.92761,-75.15045
Xenia,OH,Ohio,,25976,39.68478,-83.92965
Reisterstown,MD,Maryland,,25968,39.46976,-76.8319
Central 14th Street / Spring Road,DC,District of Columbia,,25899,38.93707,-77.03265
Green,OH,Ohio,,25898,40.94589,-81.48317
Brawley,CA,California,,25897,32.97866,-115.53027
Yukon,OK,Oklahoma,,25892,35.50672,-97.76254
Ellendale,TN,Tennessee,,25882,35.23064,-89.82592
Opportunity,WA,Washington,,25877,47.64995,-117.23991
Forest Hills,MI,Michigan,,25867,42.95947,-85.48975
Lafayette,CA,California,,25843,37.88576,-122.11802
Ramsey,MN,Minnesota,,25828,45.2611,-93.45
Suitland,MD,Maryland,,25825,38.84872,-76.92386
Pleasure Ridge Park,KY,Kentucky,,25813,38.14535,-85.8583
